source-ref,worker-response-ref
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000334309.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/0/2026-01-13_22:35:36.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000334371.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/1/2026-01-13_22:36:41.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000334399.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/2/2026-01-13_22:38:54.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000334483.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/3/2026-01-13_22:48:36.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000388846.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/4/2026-01-13_22:46:29.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000434297.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/5/2026-01-13_22:46:28.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000434459.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/6/2026-01-13_22:43:15.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000434479.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/7/2026-01-13_22:45:25.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000434548.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/8/2026-01-13_22:36:40.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000434996.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/9/2026-01-13_22:42:10.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000497867.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/10/2026-01-13_22:37:46.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000498032.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/11/2026-01-13_22:45:25.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000498286.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/12/2026-01-13_22:41:03.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000498463.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/13/2026-01-13_22:44:18.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000498709.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/14/2026-01-13_22:48:35.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000579902.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/15/2026-01-13_22:49:38.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000579970.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/16/2026-01-13_22:43:14.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000580197.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/17/2026-01-13_22:37:46.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000580294.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/18/2026-01-13_22:44:19.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000580410.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/19/2026-01-13_22:47:31.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000580418.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/20/2026-01-13_22:41:06.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000580757.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/21/2026-01-13_22:40:01.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581062.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/22/2026-01-13_22:47:33.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581100.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/23/2026-01-13_22:35:35.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581206.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/24/2026-01-13_22:47:33.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581317.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/25/2026-01-13_22:47:32.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581357.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/26/2026-01-13_22:41:06.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581482.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/27/2026-01-13_22:44:20.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581615.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/28/2026-01-13_22:37:46.json
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/000000581781.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_inst_seg_30/cvdms-inst-seg/annotations/worker-response/iteration-1/29/2026-01-13_22:45:23.json
