source-ref,labels
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088040.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088218.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088250.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088265.jpg,"animal,inanimate"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088269.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088345.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088432.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088462.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088485.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088848.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000088951.jpg,"animal,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000121586.jpg,"animal,inanimate"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000122745.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000122927.jpg,"animal,inanimate"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000124277.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000124442.jpg,"animal,inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000125245.jpg,"animal,inanimate"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000148620.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000162581.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000163155.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000163314.jpg,"animal,inanimate"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000163951.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000164637.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000165336.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000203294.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000203864.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000205333.jpg,
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000242946.jpg,"animal,inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000243204.jpg,"inanimate,person"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_multi_label_30/000000293474.jpg,inanimate
