source-ref,class-name,top,left,height,width
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055150.jpg,person,110,290,116,72
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055150.jpg,person,127,350,85,59
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055150.jpg,inanimate,49,79,131,119
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055150.jpg,inanimate,27,437,103,160
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055167.jpg,inanimate,128,200,109,166
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055167.jpg,inanimate,171,152,70,66
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055167.jpg,inanimate,155,513,73,123
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055299.jpg,animal,216,395,111,112
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055528.jpg,person,38,334,174,120
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055528.jpg,inanimate,284,67,190,207
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055950.jpg,person,52,137,194,145
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055950.jpg,inanimate,115,75,106,110
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000055950.jpg,inanimate,144,292,50,55
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000080949.jpg,animal,140,24,197,575
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081061.jpg,inanimate,297,48,114,452
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081061.jpg,inanimate,47,192,196,424
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081061.jpg,inanimate,46,97,231,133
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081061.jpg,inanimate,222,343,119,189
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081394.jpg,inanimate,187,71,199,325
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081394.jpg,person,134,498,107,109
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081594.jpg,person,260,163,380,142
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_obj_det_30/000000081594.jpg,inanimate,193,177,198,233
