source-ref,semantic-segmentation-ref,color_map
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000000285.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/0_2026-01-13T22:16:15.439179.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000015660.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/1_2026-01-13T22:09:07.926199.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000019221.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/2_2026-01-13T22:04:21.215399.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000020059.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/3_2026-01-13T22:14:19.970808.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000020571.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/4_2026-01-13T22:16:15.618542.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000020992.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/5_2026-01-13T22:09:08.733558.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000021167.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/6_2026-01-13T22:17:54.478434.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000030785.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/7_2026-01-13T22:11:13.742807.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000030828.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/8_2026-01-13T22:04:20.847318.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000031050.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/9_2026-01-13T22:16:15.787914.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/000000031093.jpg,s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_sem_seg_30/cvdms-sem-seg/annotations/consolidated-annotation/output/10_2026-01-13T22:04:21.387384.png,"{""BACKGROUND"":[""#ffffff""],""person"":[""#2ca02c""],""animal"":[""#1f77b4""],""inanimate"":[""#ff7f0e""]}"
