source-ref,class-name
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000034139.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000047801.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000078915.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000082688.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000105264.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000131138.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000148620.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000162858.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000180135.jpg,
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000186282.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000210032.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000263403.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000270908.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000311789.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000334006.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000363072.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000365642.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000388846.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000395343.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000402096.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000423229.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000507975.jpg,animal
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000520871.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000535253.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/000000550471.jpg,inanimate
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/9988770.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/9988771.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/9988772.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/998877660.jpg,person
s3://cv-imagery-for-ml/samples/cvdms_project/coco/val2017/random_sample_single_label_30/998877661.jpg,inanimate
